distancia_km,tiempo_osrm_min,vehiculo,hora,dia_semana,lluvia,trafico,zonas_bloqueadas,tiempo_real_min
13.8,34,Moto,12,6,0,0,0,36
1.5,3,Moto,17,1,0,1,1,20
11.7,46,Bicicleta,21,3,0,0,0,46
8.6,34,Bicicleta,15,0,0,0,1,41
13,52,Bicicleta,14,0,0,1,0,69
10.7,32,Camioneta,18,1,0,1,3,45
5,15,Camioneta,20,2,0,0,1,19
12.4,49,Bicicleta,18,2,0,1,0,63
14.1,56,Bicicleta,16,5,0,1,0,65
7.8,31,Bicicleta,11,5,0,0,0,32
11.6,29,Moto,19,5,1,1,0,52
2,5,Moto,13,3,0,0,1,7
9.5,38,Bicicleta,19,0,0,1,0,47
13.8,55,Bicicleta,9,6,0,1,0,66
10.4,26,Moto,14,0,0,1,2,46
7.2,18,Moto,19,5,0,1,0,35
1.4,4,Camioneta,10,0,0,1,3,15
9,27,Camioneta,18,2,0,1,0,32
1.5,6,Bicicleta,21,0,0,0,0,8
3.2,12,Bicicleta,22,6,0,0,1,13
1,2,Moto,22,5,1,1,0,20
2.8,7,Moto,17,5,0,1,0,13
4.6,13,Camioneta,22,6,0,0,0,16
10.6,42,Bicicleta,8,3,0,1,0,52
9.4,37,Bicicleta,10,4,0,0,0,38
5.2,20,Bicicleta,20,2,0,0,0,22
2.2,8,Bicicleta,9,6,0,1,0,13
3.9,15,Bicicleta,13,4,0,0,2,28
13.3,33,Moto,14,2,0,0,2,43
6.2,18,Camioneta,12,5,0,1,2,32
14.8,37,Moto,15,2,0,0,0,38
7,17,Moto,19,5,0,1,0,35
12.3,49,Bicicleta,20,4,0,0,0,49
1.8,7,Bicicleta,22,1,0,0,0,9
11.7,46,Bicicleta,14,6,0,0,0,47
5.6,22,Bicicleta,14,2,1,0,0,27
1.9,7,Bicicleta,22,3,0,0,3,15
14.2,42,Camioneta,16,5,0,0,0,44
13.2,52,Bicicleta,12,6,0,0,2,60
5.2,15,Camioneta,8,3,0,1,0,27
12.4,49,Bicicleta,12,3,1,0,0,60
10.9,43,Bicicleta,13,5,0,0,1,47
11.9,29,Moto,19,4,0,1,0,40
13.5,40,Camioneta,21,3,0,1,0,51
4.8,14,Camioneta,18,5,0,1,0,29
7.7,30,Bicicleta,22,2,1,1,0,51
11,44,Bicicleta,16,4,0,0,2,49
10.8,43,Bicicleta,8,0,0,1,1,54
12.7,38,Camioneta,15,2,0,0,0,39
13.5,33,Moto,22,0,0,0,0,35
11.8,29,Moto,10,0,0,0,0,31
12.8,38,Camioneta,16,1,0,0,0,40
9.6,38,Bicicleta,20,6,0,1,0,50
10.4,26,Moto,11,2,1,0,0,31
6.6,19,Camioneta,10,4,0,0,2,25
3.6,9,Moto,17,5,0,1,0,15
9.7,38,Bicicleta,17,3,1,1,0,54
8.6,21,Moto,17,4,1,1,1,44
5.6,16,Camioneta,9,3,0,1,0,28
2.1,5,Moto,22,5,0,0,0,6
4.1,12,Camioneta,19,0,0,1,0,26
10.3,30,Camioneta,20,5,0,0,0,30
7.7,23,Camioneta,12,3,0,0,0,26
13.1,39,Camioneta,20,0,0,0,0,41
12.4,37,Camioneta,13,0,0,0,2,46
3.5,10,Camioneta,13,4,0,0,0,10
14,56,Bicicleta,10,2,0,0,0,56
3.4,13,Bicicleta,11,4,0,1,0,20
12.6,37,Camioneta,18,6,0,1,1,48
2.5,7,Camioneta,22,0,0,0,0,8
6.4,25,Bicicleta,22,2,0,1,2,43
1.9,4,Moto,19,1,0,1,3,19
8.4,21,Moto,17,0,1,1,3,48
14.7,44,Camioneta,12,4,0,1,2,62
10.4,31,Camioneta,19,3,0,1,0,40
10,30,Camioneta,19,1,1,1,2,60
4.2,16,Bicicleta,18,3,1,1,0,29
2.3,6,Camioneta,19,3,0,1,0,14
1.3,5,Bicicleta,15,6,0,0,0,6
6.2,15,Moto,12,3,0,0,0,16
3.6,14,Bicicleta,11,5,0,0,0,14
8.2,24,Camioneta,11,6,0,0,0,27
3.7,9,Moto,21,4,0,1,0,23
12,48,Bicicleta,14,2,0,0,0,48
12,36,Camioneta,10,2,1,1,0,50
10.8,43,Bicicleta,11,0,0,0,0,44
1.9,4,Moto,13,4,0,0,0,5
8.7,26,Camioneta,12,2,0,1,3,40
11.1,27,Moto,11,3,0,1,0,31
10.7,42,Bicicleta,11,0,0,0,0,44
13,32,Moto,18,2,0,1,3,58
5.3,15,Camioneta,8,3,0,1,0,20
12.2,30,Moto,15,0,1,1,3,67
7.7,30,Bicicleta,8,4,0,1,2,48
14.7,36,Moto,13,1,1,0,0,47
2.4,9,Bicicleta,14,4,0,0,1,16
13.1,39,Camioneta,20,2,0,1,3,65
12.6,31,Moto,18,1,0,1,0,35
6.8,20,Camioneta,15,1,0,0,0,21
6.3,25,Bicicleta,14,0,0,0,0,27
5.6,16,Camioneta,12,1,1,1,0,31
6.3,18,Camioneta,8,1,0,1,1,30
14.8,59,Bicicleta,21,2,1,0,0,68
12.6,50,Bicicleta,15,5,0,0,0,52
14.3,35,Moto,22,6,1,1,0,51
9.2,23,Moto,21,0,0,0,0,26
12.4,31,Moto,8,6,0,1,0,37
2.2,6,Camioneta,8,2,0,1,2,17
11.8,29,Moto,14,5,0,1,1,39
9.1,22,Moto,16,0,0,1,0,33
7.5,22,Camioneta,14,0,0,0,0,23
2.3,6,Camioneta,22,5,1,1,1,26
14.6,36,Moto,22,2,0,0,3,53
10.1,25,Moto,20,2,0,0,0,27
5.4,16,Camioneta,19,2,0,1,0,27
9.7,29,Camioneta,20,6,0,1,0,41
10.4,26,Moto,18,6,0,1,3,49
4.6,18,Bicicleta,10,4,0,1,2,43
6.6,19,Camioneta,19,6,0,1,0,34
3.9,9,Moto,16,5,1,0,0,17
12.3,49,Bicicleta,16,1,1,0,2,65
9.7,29,Camioneta,11,6,0,1,2,42
2.7,8,Camioneta,12,2,0,0,0,9
5.2,15,Camioneta,9,3,0,1,0,24
6,18,Camioneta,13,3,0,0,0,20
1.2,3,Moto,10,2,1,0,0,10
3.5,14,Bicicleta,14,6,0,0,3,29
4.3,10,Moto,21,5,0,1,0,23
4,10,Moto,22,4,0,0,0,10
5.2,15,Camioneta,17,2,0,1,0,27
10.7,32,Camioneta,19,1,0,1,0,48
2.1,8,Bicicleta,8,0,0,1,0,21
9.7,24,Moto,17,0,0,1,2,44
2,5,Moto,22,3,0,1,3,25
2.3,5,Moto,10,0,1,0,0,15
3.6,14,Bicicleta,15,6,0,0,0,16
8.2,20,Moto,12,1,0,1,1,39
9,27,Camioneta,11,4,0,0,2,37
3.2,8,Moto,12,5,0,0,0,8
1.1,2,Moto,15,6,1,0,0,14
10.7,26,Moto,20,0,0,0,0,27
2.1,5,Moto,15,5,0,1,0,12
3.7,14,Bicicleta,11,5,0,1,1,23
9,36,Bicicleta,13,5,0,0,0,36
6.5,19,Camioneta,19,6,1,1,2,43
14.8,44,Camioneta,21,6,0,0,1,47
13.6,34,Moto,9,1,0,1,0,44
8.5,25,Camioneta,19,5,0,1,0,37
6.2,15,Moto,15,2,0,1,1,25
6.4,19,Camioneta,20,5,0,0,0,22
10.5,26,Moto,9,1,0,1,0,38
9.4,37,Bicicleta,8,0,0,1,0,40
3.7,9,Moto,9,6,0,1,2,28
7.2,28,Bicicleta,9,3,0,1,0,41
9.3,23,Moto,18,2,0,1,0,34
7.7,30,Bicicleta,21,1,1,0,0,42
6.5,16,Moto,22,1,0,1,0,31
7.3,29,Bicicleta,11,1,0,0,0,31
10,25,Moto,19,2,1,1,0,52
3.3,9,Camioneta,17,0,0,1,0,13
13.2,52,Bicicleta,18,1,0,1,0,64
3.5,14,Bicicleta,14,2,1,0,0,24
7.2,18,Moto,11,2,0,0,0,20
9.6,24,Moto,20,6,1,0,0,37
8.2,20,Moto,19,0,0,1,0,24
7.6,19,Moto,16,2,0,0,2,23
2,8,Bicicleta,9,0,0,1,0,15
2.7,6,Moto,11,3,1,0,0,20
13.1,39,Camioneta,17,0,0,1,0,43
3.3,8,Moto,11,5,0,1,0,16
9.1,27,Camioneta,11,3,0,0,0,30
3.4,8,Moto,16,6,1,0,0,19
11.8,29,Moto,10,3,0,0,0,29
13.2,33,Moto,11,6,1,1,0,44
4.9,14,Camioneta,21,2,0,0,0,17
8.3,33,Bicicleta,15,5,0,0,2,44
5.2,20,Bicicleta,11,1,0,0,0,21
11.3,28,Moto,15,1,0,1,0,39
3.5,10,Camioneta,15,4,0,0,0,12
4.7,18,Bicicleta,21,4,0,0,0,19
8,32,Bicicleta,13,1,0,1,1,51
11.9,47,Bicicleta,8,3,0,1,3,67
11.7,29,Moto,17,6,0,1,1,50
12.9,51,Bicicleta,21,4,0,1,0,59
7.4,22,Camioneta,12,5,0,1,0,28
7.6,22,Camioneta,12,2,0,0,0,23
14.9,44,Camioneta,12,0,0,1,1,60
3.6,9,Moto,21,2,1,0,0,24
10.6,42,Bicicleta,10,6,0,0,0,44
8.7,21,Moto,16,2,0,0,0,21
5.3,21,Bicicleta,19,3,0,1,0,37
2.3,9,Bicicleta,18,3,0,1,0,14
11.2,33,Camioneta,20,2,0,1,2,52
8.9,35,Bicicleta,22,6,1,0,0,43
5.4,13,Moto,16,3,0,0,0,14
12.8,32,Moto,14,4,0,0,0,32
2.2,5,Moto,18,3,0,1,0,15
11.4,34,Camioneta,11,0,0,0,0,36
4.2,12,Camioneta,8,0,1,1,0,29
12.8,38,Camioneta,8,2,0,1,3,63
3.8,15,Bicicleta,18,0,0,1,0,22
13.1,39,Camioneta,12,2,0,0,2,44
10,25,Moto,20,3,0,0,0,25
12,36,Camioneta,17,2,1,1,0,55
11,27,Moto,15,0,0,0,0,27
1.4,5,Bicicleta,14,2,0,0,0,8
2.9,11,Bicicleta,22,3,1,1,2,25
7.8,31,Bicicleta,15,6,0,1,2,44
14.7,58,Bicicleta,22,1,0,0,0,59
9.6,38,Bicicleta,18,5,0,1,0,49
5.8,14,Moto,20,4,0,0,0,16
2.1,6,Camioneta,10,2,1,1,0,29
6.8,17,Moto,8,3,1,1,2,38
14.5,58,Bicicleta,11,1,0,0,3,68
6.1,24,Bicicleta,9,1,0,1,1,41
9.3,23,Moto,8,6,0,1,0,36
13.6,54,Bicicleta,20,5,0,0,0,55
11.4,34,Camioneta,15,4,0,0,3,50
3.1,9,Camioneta,12,1,1,0,0,16
1.4,5,Bicicleta,19,1,0,1,1,18
12.9,51,Bicicleta,20,5,0,0,0,54
9.8,24,Moto,12,6,0,0,0,24
9.5,28,Camioneta,19,1,0,1,0,40
13.3,53,Bicicleta,16,0,0,0,0,55
8.4,33,Bicicleta,16,2,0,0,0,34
10.1,30,Camioneta,22,3,0,1,2,45
11.1,44,Bicicleta,16,2,0,0,0,47
2.1,6,Camioneta,21,4,0,0,1,14
1.1,2,Moto,21,6,1,0,0,15
1.5,4,Camioneta,22,1,0,0,2,11
3.4,10,Camioneta,12,3,0,0,3,22
8.1,24,Camioneta,15,5,1,0,0,36
14.4,43,Camioneta,10,1,0,0,0,45
12.2,48,Bicicleta,11,3,0,0,0,50
2.8,8,Camioneta,14,0,0,0,0,10
6.3,25,Bicicleta,13,1,1,1,2,52
2,6,Camioneta,16,2,0,0,0,9
8.2,24,Camioneta,12,0,0,0,0,26
13.1,52,Bicicleta,22,2,1,0,0,59
3.9,9,Moto,8,6,0,1,0,19
3.1,9,Camioneta,18,5,0,1,0,16
8.8,22,Moto,22,5,0,1,0,33
12.1,30,Moto,16,6,1,0,0,43
11.3,33,Camioneta,16,6,0,0,0,33
11.1,27,Moto,14,4,0,1,0,43
10.3,25,Moto,15,5,1,0,0,32
10.9,32,Camioneta,8,0,0,1,2,45
2.8,7,Moto,11,4,1,0,0,17
9.1,22,Moto,11,1,0,0,0,22
3.2,8,Moto,20,6,0,0,0,10
7.1,28,Bicicleta,10,1,0,0,0,28
4.2,16,Bicicleta,13,5,0,0,1,19
11.6,34,Camioneta,17,1,1,1,2,57
11.4,28,Moto,14,1,0,0,0,29
9.8,29,Camioneta,20,6,0,0,0,29
13.8,41,Camioneta,11,3,0,1,0,59
14.5,58,Bicicleta,16,0,0,1,0,70
11.4,34,Camioneta,22,3,0,0,2,45
9,22,Moto,11,3,0,0,0,24
14.9,37,Moto,13,3,0,0,0,37
13.6,40,Camioneta,9,5,0,1,0,48
8.9,26,Camioneta,18,4,0,1,0,39
10.7,32,Camioneta,22,4,0,1,0,40
10.8,27,Moto,15,2,0,1,0,40
11.6,29,Moto,11,5,1,0,3,48
1.8,4,Moto,9,4,0,1,0,17
13.3,53,Bicicleta,20,0,0,0,0,53
14.8,59,Bicicleta,11,5,0,0,0,60
2.8,11,Bicicleta,9,1,0,1,0,21
1.2,4,Bicicleta,9,3,0,1,1,20
3.9,11,Camioneta,10,6,1,0,0,16
2.9,11,Bicicleta,8,6,1,1,1,26
2.2,8,Bicicleta,15,1,0,1,3,26
6.4,25,Bicicleta,14,2,0,1,3,50
8.3,20,Moto,22,1,1,0,0,28
4,16,Bicicleta,10,4,1,1,0,38
2.4,6,Moto,19,2,1,1,0,20
6.8,27,Bicicleta,18,0,0,1,0,37
9.9,24,Moto,14,5,0,0,3,35
8.4,21,Moto,18,0,0,1,0,28
3.3,9,Camioneta,12,1,0,0,0,9
3.5,8,Moto,9,2,1,1,0,28
14.5,58,Bicicleta,15,6,0,0,0,60
11.8,47,Bicicleta,17,5,1,1,0,68
7.6,22,Camioneta,21,2,1,1,2,48
11,27,Moto,22,2,1,0,0,32
11.3,45,Bicicleta,15,5,0,0,2,49
12.8,51,Bicicleta,13,3,0,0,0,51
9.3,27,Camioneta,22,3,1,0,3,48
10.1,40,Bicicleta,16,6,0,1,0,53
11.7,35,Camioneta,18,6,0,1,0,47
6.4,25,Bicicleta,13,3,0,1,0,31
8.9,26,Camioneta,18,1,0,1,0,31
3.9,11,Camioneta,13,1,1,0,0,15
10.5,31,Camioneta,17,0,0,1,0,40
12,48,Bicicleta,15,5,0,0,2,51
10.5,31,Camioneta,11,1,1,0,0,35
6.4,16,Moto,21,2,0,0,3,23
2.4,9,Bicicleta,15,0,0,1,0,22
11.3,28,Moto,20,5,0,0,0,31
10.5,31,Camioneta,15,0,0,0,0,31
13.6,40,Camioneta,14,1,0,1,1,55
9.9,24,Moto,12,1,0,0,1,27
4.2,16,Bicicleta,17,4,0,1,0,25
6.5,16,Moto,10,0,0,1,1,34
14.2,42,Camioneta,18,5,0,1,0,58
14.5,43,Camioneta,15,3,1,0,0,55
2.8,7,Moto,18,6,0,1,0,22
2.1,6,Camioneta,22,6,0,0,0,9
13.7,41,Camioneta,8,4,0,1,0,53
8.1,24,Camioneta,16,1,0,0,2,32
7.3,29,Bicicleta,15,3,1,0,0,39
13.5,54,Bicicleta,12,3,0,0,3,59
2.7,8,Camioneta,16,3,1,1,0,20
5.2,15,Camioneta,8,2,1,1,0,36
5.6,22,Bicicleta,18,6,1,1,1,45
11.4,28,Moto,18,0,0,1,0,36
8.9,22,Moto,18,4,0,1,0,33
13.7,41,Camioneta,21,4,0,0,0,41
11.7,46,Bicicleta,17,3,0,1,0,55
5.2,13,Moto,22,0,1,1,0,33
2.1,6,Camioneta,14,3,1,0,0,11
5.9,17,Camioneta,18,1,0,1,0,31
1.8,7,Bicicleta,9,5,0,1,0,14
12.8,32,Moto,22,2,1,0,3,49
9.4,28,Camioneta,8,4,0,1,0,41
9.6,24,Moto,13,5,0,0,2,32
12.1,48,Bicicleta,22,3,0,0,0,48
7.2,28,Bicicleta,20,4,0,1,0,41
1.4,4,Camioneta,11,2,0,0,0,7
6.5,26,Bicicleta,20,4,0,0,0,26
7.7,19,Moto,14,1,0,0,0,20
4.1,10,Moto,10,5,0,0,0,13
8.1,32,Bicicleta,14,3,0,0,2,38
13.7,41,Camioneta,12,4,0,1,0,53
3.4,8,Moto,20,5,0,1,0,23
6.6,26,Bicicleta,14,5,0,0,0,26
3,7,Moto,20,1,0,0,0,8
3.5,14,Bicicleta,14,2,0,0,3,25
11.2,28,Moto,9,6,1,1,2,54
4.4,11,Moto,18,1,0,1,0,18
6.3,15,Moto,17,4,0,1,1,30
9,36,Bicicleta,19,6,0,1,1,49
7.5,18,Moto,14,1,0,1,0,30
13.6,40,Camioneta,17,6,0,1,0,47
6.6,16,Moto,10,1,0,0,0,18
4.2,16,Bicicleta,18,4,0,1,0,22
6.1,18,Camioneta,21,5,1,1,0,32
11.4,45,Bicicleta,21,5,0,0,0,47
13.9,55,Bicicleta,19,4,0,1,0,70
14,35,Moto,13,1,0,0,0,36
4.2,12,Camioneta,12,1,1,0,0,22
8.9,22,Moto,12,6,0,0,0,25
4.5,18,Bicicleta,22,2,0,0,0,19
8.5,25,Camioneta,8,3,0,1,3,50
5.2,13,Moto,13,6,1,0,0,24
10.5,42,Bicicleta,18,3,0,1,0,48
10.4,31,Camioneta,17,2,0,1,0,37
13.2,33,Moto,22,3,0,0,0,34
12.6,31,Moto,21,5,0,0,1,35
2,6,Camioneta,18,0,0,1,0,11
8,32,Bicicleta,17,6,1,1,0,49
9.6,24,Moto,11,0,0,0,3,38
1.1,4,Bicicleta,14,1,0,0,2,12
12.2,30,Moto,18,1,0,1,2,45
12.6,31,Moto,22,4,0,1,1,50
14.1,42,Camioneta,19,6,1,1,2,69
10.9,43,Bicicleta,16,0,0,1,1,61
13.2,33,Moto,10,6,0,0,0,34
1.9,4,Moto,17,1,0,1,0,18
9.7,29,Camioneta,18,2,0,1,0,42
12.4,31,Moto,21,4,0,1,0,42
4,10,Moto,10,6,0,0,0,12
9,27,Camioneta,12,1,0,0,1,30
9,36,Bicicleta,19,5,0,1,0,52
9.3,23,Moto,19,4,0,1,0,36
13.7,54,Bicicleta,14,5,0,0,3,58
2.3,5,Moto,10,2,0,1,0,13
5.2,20,Bicicleta,12,1,0,0,2,27
7.4,22,Camioneta,9,1,0,1,1,38
5.3,15,Camioneta,11,2,0,0,0,18
7.1,28,Bicicleta,20,6,1,0,2,37
14.1,35,Moto,19,2,0,1,0,45
1.7,5,Camioneta,18,1,0,1,0,11
1.2,3,Moto,16,1,0,0,0,6
9.7,24,Moto,9,1,0,1,3,46
3.6,14,Bicicleta,20,3,1,1,0,25
4.6,18,Bicicleta,8,0,0,1,1,29
12.3,30,Moto,21,0,0,0,0,31
13,39,Camioneta,14,0,0,0,0,40
12.3,30,Moto,17,5,0,1,0,42
7.4,29,Bicicleta,19,1,0,1,3,49
3.1,12,Bicicleta,17,2,0,1,0,24
6.1,24,Bicicleta,15,1,0,0,0,25
7.7,30,Bicicleta,13,6,0,0,0,32
9.4,37,Bicicleta,17,5,1,1,0,54
10.3,30,Camioneta,17,5,0,1,0,41
11.5,46,Bicicleta,22,6,0,1,0,56
6.3,18,Camioneta,17,4,0,1,0,30
1.9,7,Bicicleta,10,0,1,0,0,19
3.7,14,Bicicleta,20,6,1,0,0,23
11.2,44,Bicicleta,21,1,1,0,0,53
12.5,50,Bicicleta,18,3,0,1,0,59
8.4,33,Bicicleta,21,0,0,0,0,35
3.9,15,Bicicleta,14,6,0,1,0,27
14.7,44,Camioneta,21,1,0,0,0,45
10.4,41,Bicicleta,17,1,0,1,0,55
11.2,28,Moto,15,3,0,1,3,44
1.1,4,Bicicleta,13,3,1,0,0,14
11.3,28,Moto,16,2,0,0,1,28
11.5,28,Moto,8,3,0,1,1,39
7.3,29,Bicicleta,13,1,0,1,1,45
11.1,44,Bicicleta,17,5,0,1,2,59
11.5,34,Camioneta,9,0,1,1,0,47
10.1,25,Moto,16,6,0,0,0,27
11.5,34,Camioneta,17,0,0,1,0,45
14.3,35,Moto,15,3,1,0,0,43
3.9,11,Camioneta,14,3,0,0,0,11
10.8,32,Camioneta,21,1,1,1,0,47
11.1,33,Camioneta,13,3,0,0,0,33
6.9,20,Camioneta,21,4,0,0,0,23
13.1,52,Bicicleta,16,5,0,0,3,65
6.5,26,Bicicleta,11,2,0,0,0,27
8.4,33,Bicicleta,19,4,0,1,0,44
10.8,43,Bicicleta,16,4,0,1,0,53
4.1,12,Camioneta,19,5,1,1,2,32
2.1,6,Camioneta,21,0,0,0,0,8
12.5,31,Moto,15,6,0,0,3,36
10.3,30,Camioneta,18,1,0,1,0,44
9.7,29,Camioneta,16,2,0,0,2,35
4.2,10,Moto,15,1,0,0,0,12
14.2,56,Bicicleta,19,6,0,1,2,79
13.8,55,Bicicleta,9,6,0,1,0,67
11.9,35,Camioneta,14,2,0,0,2,38
2.4,7,Camioneta,14,1,1,0,0,13
10.2,40,Bicicleta,21,1,0,0,1,43
2.7,6,Moto,18,1,0,1,0,21
9.4,28,Camioneta,19,4,0,1,1,40
2.8,7,Moto,15,1,0,0,0,10
5.5,22,Bicicleta,19,2,0,1,0,27
13.4,40,Camioneta,8,5,0,1,0,44
13.2,52,Bicicleta,13,4,0,1,0,67
10.7,26,Moto,8,4,0,1,1,45
12.8,51,Bicicleta,9,5,0,1,0,57
8.1,20,Moto,14,4,0,0,0,21
13,39,Camioneta,15,6,1,0,2,58
3.2,9,Camioneta,17,4,1,1,0,25
13.8,34,Moto,8,4,0,1,0,48
9.3,23,Moto,11,4,0,0,0,24
5.2,20,Bicicleta,22,1,0,1,0,27
4.2,10,Moto,11,6,0,1,0,23
6.8,27,Bicicleta,22,0,0,1,0,32
2.4,7,Camioneta,22,6,0,0,0,8
14.2,35,Moto,22,4,0,0,0,36
3.3,9,Camioneta,15,1,0,0,0,11
14.1,35,Moto,9,4,0,1,0,39
2,8,Bicicleta,12,5,0,0,0,8
4.6,11,Moto,9,6,0,1,2,18
10.8,43,Bicicleta,15,0,0,0,0,44
